"max_depth","eta","min_child_weight","subsample","colsample_bytree","gamma","reg_alpha","reg_lambda","config_id","val_rmse","val_rmsle","best_nrounds","rank"
3,0.02,3,0.9,0.9,0.5,0.01,50,20,24620.9889961393,4.01175846939434,1,70
3,0.02,5,0.9,0.75,0.5,0.1,10,111,24620.6509397269,4.01177782210272,1,71
3,0.02,20,0.9,1,0,0.01,5,85,24619.9028472991,4.01180458968934,1,72
3,0.02,40,0.9,0.6,1,0.1,50,103,24620.856303447,4.01183975695073,1,73
3,0.02,10,0.75,0.9,0,0.1,50,65,24621.0670704332,4.01187506240651,1,74
3,0.02,1,0.75,1,2,0.01,10,70,24622.8223217718,4.01198450110884,1,75
3,0.02,1,0.9,0.6,2,0.1,50,62,24620.8974168478,4.01201204714034,1,76
3,0.02,3,0.6,1,0.5,0.1,1,89,24622.2776632418,4.01205858804824,1,77
3,0.02,1,0.75,0.9,0,0.01,5,66,24622.175602708,4.01210095025223,1,78
3,0.02,1,0.6,0.6,0.5,0.1,50,59,24622.72178418,4.0121263405331,1,79
10,0.01,10,1,1,0,0.01,5,36,24638.9150197934,4.01572278966496,1,80
10,0.01,3,0.9,1,1,0,10,86,24641.274473255,4.01575236163785,1,81
10,0.01,1,0.75,1,2,0.1,50,31,24642.9154765083,4.01587578537782,1,82
10,0.01,40,0.9,0.6,1,0.1,10,19,24640.5508490425,4.01587803732959,1,83
10,0.01,40,0.6,0.75,1,0,25,91,24641.8591044925,4.01589912251878,1,84
7,0.01,1,0.9,1,0,0.01,25,93,24641.5707940702,4.01593159124238,1,85
8,0.01,1,0.6,0.9,0.5,0.01,25,18,24643.0698625396,4.01594578989875,1,86
7,0.01,20,0.6,0.9,0.5,0,25,95,24641.5385781368,4.01595996804386,1,87
8,0.01,40,0.6,0.9,0,0,25,119,24641.6631098511,4.01597892662047,1,88
6,0.01,20,0.9,0.6,1,0,5,110,24639.2967260775,4.01601096520733,1,89
6,0.01,10,1,0.9,0.5,0.01,5,75,24640.2828649447,4.0160163236941,1,90
6,0.01,1,0.6,0.75,0,0,10,109,24642.0907045068,4.0160834361133,1,91
5,0.01,10,0.6,0.6,0.5,0.01,10,100,24641.6139247575,4.01613114142934,1,92
5,0.01,20,0.75,1,0,0.1,5,51,24640.6705519856,4.01613775620524,1,93
5,0.01,20,0.9,0.6,1,0.1,25,83,24641.878076878,4.01618807303787,1,94
5,0.01,3,0.6,1,2,0.1,1,108,24641.7014058907,4.01618970839568,1,95
5,0.01,5,0.6,0.6,0,0,5,99,24641.4042136514,4.01618976913231,1,96
5,0.01,1,1,0.9,0.5,0.01,10,48,24642.1432815565,4.01619512761101,1,97
4,0.01,40,1,0.9,0,0.01,10,112,24641.6777679654,4.01623768238038,1,98
4,0.01,5,0.6,1,2,0.1,50,78,24643.5898452711,4.0162609882737,1,99
4,0.01,40,0.6,0.75,0,0,10,72,24642.385219524,4.01627615348059,1,100
4,0.01,20,0.6,1,0,0,50,81,24644.0301911458,4.01629135547407,1,101
3,0.01,20,1,1,1,0.1,5,16,24644.3348142024,4.01640095458814,1,102
3,0.01,1,1,0.75,0,0,25,117,24644.6266691263,4.01641726537685,1,103
3,0.01,5,0.9,0.75,1,0,10,64,24644.945219902,4.0164368612931,1,104
3,0.01,5,0.75,1,2,0,1,33,24644.8329925043,4.01645541930727,1,105
3,0.01,3,0.6,0.9,0.5,0,5,30,24645.8731108257,4.01654933675405,1,106
8,0.01,10,0.9,1,2,0.1,50,3,21994.760590902,,802,107
4,0.01,10,1,0.75,2,0.01,5,2,22067.0915161462,,869,108
10,0.01,1,0.6,0.9,0.5,0.1,10,13,22256.7475667954,,642,109
8,0.01,10,1,1,2,0.01,25,14,22460.5790631941,,687,110
3,0.05,1,0.6,0.75,0.5,0.1,50,12,22474.4726844416,,433,111
5,0.02,5,0.9,0.75,1,0,1,9,22531.1525461119,,335,112
5,0.05,20,0.75,0.6,1,0,10,6,22554.3157450854,,267,113
10,0.05,40,1,0.9,1,0.01,5,7,22574.9483915312,,243,114
4,0.05,40,1,0.9,0.5,0.1,1,10,22639.6542555528,,254,115
4,0.03,1,0.9,0.75,0,0,10,5,22794.4243259797,,269,116
6,0.02,1,1,0.6,0.5,0.1,5,1,22869.4873335192,,282,117
5,0.01,1,0.6,0.6,1,0,1,8,22980.0762425276,,352,118
7,0.05,3,0.75,1,2,0.01,1,4,23215.6268905989,,179,119
3,0.05,1,1,0.75,2,0.1,5,11,23493.9657565594,,221,120
