"rank","model","rmsle","rmse"
1,"xgboost",2.85739750313337,19258.8173241788
2,"piecewise_polynomial_spline",2.92421367929279,20228.9029221661
3,"random_forest",3.67158647580494,20143.5223385826
4,"intercept",4.02820932309866,21390.6211188698
