"selected_feature","spline_degree","cv_rmsle"
"PMEDUP42_INAPPLICABLE",1,2.94691924229928
"ANYLMI_No",1,2.94691924229928
"PMEDUP31_INAPPLICABLE",1,2.94691924229928
"PMEDUP53_1",1,2.94691924229928
