"variable"
"DVTEXP"
"DVTMCD"
"DVTMCR"
"DVTOFD"
"DVTOSR"
"DVTOT"
"DVTOTH"
"DVTPRV"
"DVTPTR"
"DVTSLF"
"DVTSTL"
"DVTTCH"
"DVTTRI"
"DVTVA"
"DVTWCP"
"ERDEXP"
"ERDMCD"
"ERDMCR"
"ERDOFD"
"ERDOSR"
"ERDOTH"
"ERDPRV"
"ERDPTR"
"ERDSLF"
"ERDSTL"
"ERDTCH"
"ERDTRI"
"ERDVA"
"ERDWCP"
"ERFEXP"
"ERFMCD"
"ERFMCR"
"ERFOFD"
"ERFOSR"
"ERFOTH"
"ERFPRV"
"ERFPTR"
"ERFSLF"
"ERFSTL"
"ERFTCH"
"ERFTRI"
"ERFVA"
"ERFWCP"
"ERTEXP"
"ERTMCD"
"ERTMCR"
"ERTOFD"
"ERTOSR"
"ERTOT"
"ERTOTH"
"ERTPRV"
"ERTPTR"
"ERTSLF"
"ERTSTL"
"ERTTCH"
"ERTTRI"
"ERTVA"
"ERTWCP"
"HHAEXP"
"HHAGD"
"HHAMCD"
"HHAMCR"
"HHAOFD"
"HHAOSR"
"HHAOTH"
"HHAPRV"
"HHAPTR"
"HHASLF"
"HHASTL"
"HHATCH"
"HHATRI"
"HHAVA"
"HHAWCP"
"HHINDD"
"HHINFD"
"HHNEXP"
"HHNMCD"
"HHNMCR"
"HHNOFD"
"HHNOSR"
"HHNOTH"
"HHNPRV"
"HHNPTR"
"HHNSLF"
"HHNSTL"
"HHNTCH"
"HHNTRI"
"HHNVA"
"HHNWCP"
"HHTOTD"
"IPDEXP"
"IPDIS"
"IPDMCD"
"IPDMCR"
"IPDOFD"
"IPDOSR"
"IPDOTH"
"IPDPRV"
"IPDPTR"
"IPDSLF"
"IPDSTL"
"IPDTCH"
"IPDTRI"
"IPDVA"
"IPDWCP"
"IPFEXP"
"IPFMCD"
"IPFMCR"
"IPFOFD"
"IPFOSR"
"IPFOTH"
"IPFPRV"
"IPFPTR"
"IPFSLF"
"IPFSTL"
"IPFTCH"
"IPFTRI"
"IPFVA"
"IPFWCP"
"IPNGTD"
"IPTEXP"
"IPTMCD"
"IPTMCR"
"IPTOFD"
"IPTOSR"
"IPTOTH"
"IPTPRV"
"IPTPTR"
"IPTSLF"
"IPTSTL"
"IPTTCH"
"IPTTRI"
"IPTVA"
"IPTWCP"
"OBDEXP"
"OBDMCD"
"OBDMCR"
"OBDOFD"
"OBDOSR"
"OBDOTH"
"OBDPRV"
"OBDPTR"
"OBDRV"
"OBDSLF"
"OBDSTL"
"OBDTCH"
"OBDTRI"
"OBDVA"
"OBDWCP"
"OBTOTV"
"OBVEXP"
"OBVMCD"
"OBVMCR"
"OBVOFD"
"OBVOSR"
"OBVOTH"
"OBVPRV"
"OBVPTR"
"OBVSLF"
"OBVSTL"
"OBVTCH"
"OBVTRI"
"OBVVA"
"OBVWCP"
"OPDEXP"
"OPDMCD"
"OPDMCR"
"OPDOFD"
"OPDOSR"
"OPDOTH"
"OPDPRV"
"OPDPTR"
"OPDRV"
"OPDSLF"
"OPDSTL"
"OPDTCH"
"OPDTRI"
"OPDVA"
"OPDWCP"
"OPFEXP"
"OPFMCD"
"OPFMCR"
"OPFOFD"
"OPFOSR"
"OPFOTH"
"OPFPRV"
"OPFPTR"
"OPFSLF"
"OPFSTL"
"OPFTCH"
"OPFTRI"
"OPFVA"
"OPFWCP"
"OPSEXP"
"OPSMCD"
"OPSMCR"
"OPSOFD"
"OPSOSR"
"OPSOTH"
"OPSPRV"
"OPSPTR"
"OPSSLF"
"OPSSTL"
"OPSTCH"
"OPSTRI"
"OPSVA"
"OPSWCP"
"OPTEXP"
"OPTMCD"
"OPTMCR"
"OPTOFD"
"OPTOSR"
"OPTOTH"
"OPTOTV"
"OPTPRV"
"OPTPTR"
"OPTSLF"
"OPTSTL"
"OPTTCH"
"OPTTRI"
"OPTVA"
"OPTWCP"
"OPVEXP"
"OPVMCD"
"OPVMCR"
"OPVOFD"
"OPVOSR"
"OPVOTH"
"OPVPRV"
"OPVPTR"
"OPVSLF"
"OPVSTL"
"OPVTCH"
"OPVTRI"
"OPVVA"
"OPVWCP"
"PERWTF"
"RXEXP"
"RXMCD"
"RXMCR"
"RXOFD"
"RXOSR"
"RXOTH"
"RXPRV"
"RXPTR"
"RXSLF"
"RXSTL"
"RXTOT"
"RXTRI"
"RXVA"
"RXWCP"
"TOTMCD"
"TOTMCR"
"TOTOFD"
"TOTOSR"
"TOTOTH"
"TOTPRV"
"TOTPTR"
"TOTSLF"
"TOTSTL"
"TOTTCH"
"TOTTRI"
"TOTVA"
"TOTWCP"
"VARPSU"
"VARSTR"
